Key	Type	Desc	English	Korean	Japanese
Ingame_Tip_Txt_10	Text		"Press Bomb button
inflicts 10 damage to all bricks"	"폭탄 버튼은 모든 벽돌에게
10의 피해를 줍니다."	"爆弾ボタンで全てのレンガい
10のダメージを与えます。"
Ingame_Tip_Txt_11	Text		"Press Add balls button
 to increase the number of balls by 20."	"볼 추가 버튼은 볼을
20개 늘려줍니다."	"ボール追加ボタンはボールを
20個伸ばします。"
Ingame_Tip_Txt_12	Text		Speaker Brick deals damage to surrounding blocks	"스피커 벽돌은 주변 벽돌에
대미지를 줍니다."	"拡声器レンガは周りのレンガに
ダメージを与えます。"
Ingame_Tip_Txt_13	Text		"Every time your balls go through
the Ray blocks, a Ray is triggered"	"레이저 벽돌은 공이 지나갈 때마다 레이저가
발사되며, 공이 모두 통과된 후 사라집니다."	"レーザーレンガはボールが通り過ぎる度に
レーザーを発射し、ボールが全て通り過ぎた後自動消滅します。"
Ingame_Tip_Txt_14	Text		Bomb block will explode after broken! the explosion will break all bricks within the line or row	폭탄 벽돌은 제거 시 폭발하며, 행과 열 내 모든 벽돌을 파괴합니다.	爆弾レンガは壊すと爆発し、縦横の全てのレンガを破壊します。
Ingame_Tip_Txt_15	Text		"Bricks fixed with screws
don't drop down"	"나사로 고정된 벽돌은
떨어지지 않습니다."	"ネジで固定されたレンガは
落下しません。"
Ingame_Tip_Txt_16	Text		"Black hole and white hole
are connected to each other"	"블랙홀과 화이트홀은 서로
연결되어 있습니다."	"ブラックホールとホワイトホールは
実は繋がっています"
Ingame_Tip_Txt_17	Text		"Bounce bricks bounce the ball
in random directions"	바운스 벽돌은 공을 랜덤하게 튕겨냅니다.	"バウンスレンガはボールを
ランダムにバウンドさせます。"
Ingame_Tip_Txt_18	Text		"Reduce boss HP
before coming down"	"보스가 내려오기 전에
HP를 모두 없애야 합니다."	"ボスが降りて来る前にHPを
全てなくさなければなりません。"
Ingame_Tip_Txt_19	Text		"Detonating the bomb
destroys all bricks on the screen"	"폭탄을 터뜨리면
화면의 모든 벽돌이 파괴됩니다."	爆弾を爆発させると画面上のすべてのブロックが破壊されます。
Ingame_Tip_Txt_2	Text		+1 item adds more balls	+1 아이템은 볼을 증가시켜 줍니다.	+1アイテムでボールが増えます。
Ingame_Tip_Txt_20	Text		Triangle bricks bounce balls as they rotate.	삼각형 벽돌은 회전하면서 공을 튕겨냅니다.	三角形のレンガは回転しながらボールをはじきます。
Ingame_Tip_Txt_3	Text		"You can drop the blasted marbles
to the bottom by pressing
the button"	"하단 버튼 눌러 발사 된 볼을
아래로 내릴 수 있습니다."	"下のボタンを押して発射されたボールを
下げることができます。"
Ingame_Tip_Txt_4	Text		"Bricks fixed with screws
don't drop down"	"나사로 고정된 벽돌은
떨어지지 않습니다."	"ネジで固定されたレンガは
落下しません。"
Ingame_Tip_Txt_5	Text		"3 lines below will be removed
when you press Continue"	"이어하기를 하면 3줄 제거 찬스를
사용할 수 있습니다."	"続きをプレイすれば3ライン破壊の
チャンスが使えます。"
Ingame_Tip_Txt_6	Text		"Press Return button
to go back to the state
before the launch"	"리턴 버튼을 통해 볼 발사 전
상황으로 돌아갈 수 있습니다."	"リターンボタンでボール
発射前の状況に戻れます。"
Ingame_Tip_Txt_7	Text		"Reduce boss HP
before coming down"	"보스가 내려오기 전에
HP를 모두 없애야 합니다."	"ボスが降りて来る前にHPを
全てなくさなければなりません。"
Ingame_Tip_Txt_8_1	Text		Add more one ball	볼을 증가해 줍니다.	ボールが増えます。
Ingame_Tip_Txt_8_2	Text		"Deals damage to bricks in a
horizontal line"	"수평의 레이저로 벽돌에
대미지를 줍니다."	"水平レーザーでレンガに
ダメージを与えます。"
Ingame_Tip_Txt_8_3	Text		"Deals damege to bricks in a
vertical line"	"수직의 레이저로 벽돌에
대미지를 줍니다."	"垂直レーザーでレンガに
ダメージを与えます。"
Ingame_Tip_Txt_8_4	Text		"Deals damage to bricks in
Cross line"	"십자 레이저로 벽돌에
대미지를 줍니다."	"十字レーザーでレンガに
ダメージを与えます。"
Ingame_Tip_Txt_8_5	Text		"Deals damage to bricks in
X-Cross line"	"X자 레이저로 벽돌에
대미지를 줍니다."	"Xレーザーでレンガに
ダメージを与えます"
Ingame_Tip_Txt_9_1	Text		"Eliminates bricks in a
3x3 range"	"3x3 범위의 벽돌을
제거합니다."	"3x3範囲のレンガを
破壊します。"
Ingame_Tip_Txt_9_2	Text		"Eliminates bricks in a
horizontal line"	"수평선상에 있는 벽돌을
제거합니다."	"水平線上にあるレンガを
破壊します。"
Ingame_Tip_Txt_9_3	Text		"Eliminates bricks in a
vertical line"	"수직선상에 있는 벽돌을
제거합니다."	"垂直線上にあるレンガを
破壊します。"
Ingame_Tip_Txt_9_4	Text		"Eliminates bricks in
Cross lines"	"십자 선상에 있는 벽돌을
제거합니다."	"クロスの線上にあるレンガを
破壊します。"
Ingame_Tip_Txt_9_5	Text		"Eliminates bricks in
X-Cross lines"	"X자 선상에 있는 벽돌을
제거합니다."	"Xの線上にあるレンガを
破壊します。"
Lobby_AdsNoti	Text		"There are no ads
available to watch."	시청 가능한 광고가 없습니다.	視聴可能な広告がありません。
Lobby_BestScore_Txt	Text		BEST	최고 점수	最高得点
Lobby_Clear	Text		CLEAR	CLEAR	クリア
Lobby_Common_EmptyAD	Text		There are no ads available to watch.	시청 가능한 광고가 없습니다.	視聴可能な広告がありません。
Lobby_DailyNoti_Title	Text		Get Daily Bonus.	출석 보상을 받았습니다.	出席補償を受けました。
Lobby_Daily_Btn_GetAD	Text		"Watch ad and
get next reward"	"광고보고
다음 보상받기"	"広告を見て
宝石をもらう"
Lobby_Daily_DayTxt	Text		DAY	DAY	日
Lobby_Daily_DayTxt_00	Text		DAY 1	DAY 1	1 日
Lobby_Daily_DayTxt_01	Text		DAY 2	DAY 2	2 日
Lobby_Daily_DayTxt_02	Text		DAY 3	DAY 3	3 日
Lobby_Daily_DayTxt_03	Text		DAY 4	DAY 4	4 日
Lobby_Daily_DayTxt_04	Text		DAY 5	DAY 5	5 日
Lobby_Daily_DayTxt_05	Text		DAY 6	DAY 6	6 日
Lobby_Daily_Receive	Text		RECEIVE	받기	受け取る
Lobby_Daily_Title	Text		DAILY BONUS	일일 보상	毎日のご褒美
Lobby_Gift	Text		"GET
REWARDS"	보상 받기	補償を得る
Lobby_Gift_Misson	Text		"COLLECT
[FFDE00]$$[-] STARS"	"별 [FFDE00]$$[-]개를
모으세요"	"星[FFDE00]$$[-]個を
集める"
Lobby_Info_Title	Text		INFORMATION	정보	情報
Lobby_Map	Text		MAP	맵	マップ
Lobby_Menu_Achievement	Text		ACHIEVEMENT	업적	業績
Lobby_Menu_Ranking	Text		RANKING	랭킹	ランキング
Lobby_Reward_Get	Text		GET	획득	獲得
Lobby_Reward_WatchAd	Text		Watch Ad	광고 보기	広告を視る
Lobby_Tab_100Ball	Text		100BALL	100볼 모드	100ボール
Lobby_Tab_Character	Text		FRIENDS	캐릭터	キャラ
Lobby_Tab_Classic	Text		CLASSIC	클래식 모드	クラシック
Lobby_Tab_Home	Text		LOBBY	로비	ロビー
Lobby_Tab_Mode	Text		MODE	모드	モード
Lobby_Tab_MoreGames	Text		"MORE
GAMES"	"더 많은
게임"	他のゲーム
Lobby_Tab_Puzzle	Text		HOUSING	하우징	ハウジング
Lobby_Tab_Shooting	Text		SHIOOTING	슈팅 모드	シューティング
Lobby_Tab_Shop	Text		SHOP	상점	店
Lobby_Tab_Stage	Text		STAGE	스테이지	ステージ
Lobby_Tip_Txt	Text		"Welcome to Brick Breaker:
Bbosireagi
Tap the button to start the game"	"뽀시래기: 벽돌깨기에
오신 것을 환영합니다.
버튼을 누르면 게임이 시작됩니다."	"「ポシレギ：レンガ崩し」に
ようこそ！"
Lobby_Tip_Txt_1	Text		Complete the stage and collect stars to decorate your home.	스테이지를 클리어하고 별을 모아 집을 꾸미세요.	ステージをクリアして、星を集めて家を飾りましょう。
Lobby_Tip_Txt_2	Text		You can play event modes such as 100Ball and Classic.	100볼, 클래식 등의 이벤트 모드를 플레이 할 수 있습니다.	100Ball、Classicなどのイベントモードをプレイすることができます。
MoreGames	Text		MORE GAMES	더 많은 게임	他のゲーム
Pop_Free	Text		FREE	FREE	無料
Pop_TouchGet	Text		Touch to get reward	터치하여 보상 획득	タッチして報酬を獲得する
PreMonster	Text		"Watch the ad and
use a monster once?"	"광고를 보고 몬스터를
미리 체험 하시겠습니까?"	"広告を見て、モンスターを
先行体験してみますか？"
Puzzle_Complete	Text		COMPLETE	완성	完成
Puzzle_Lock	Text		LOCK	잠김	ロック
Puzzle_Open	Text		OPEN	열기	オープン
Puzzle_Reward	Text		Received a reward.	보상을 받았습니다.	報酬を受けました。
Result_Pup_Failed	Text		LEVEL FAILED	레벨 실패	挑戦に失敗し
Result_Pup_Result	Text		RESULT	결과	結果
Result_Pup_Reward	Text		REWARD	보상	報酬
Setting	Text		SETTING	옵션	設定
Setting_Auto_Btn_Txt	Text		AUTOSAVE	자동 저장	自動保存機能
Setting_Bgm	Text		BGM	배경음	背景音
Setting_DeviceData_Txt	Text		Device Data	현재 기기 데이터	デバイスのデータ
Setting_Download	Text		Download to Device	기기에 내려받기	デバイスにダウンロード
Setting_How to Play	Text		How to Play	게임방법	遊び方
Setting_Login	Text		LOGIN	로그인	ログイン
Setting_Logout	Text		LOGOUT	로그아웃	ログアウト
Setting_Restore	Text		RESTORE	구매 복원	復元
Setting_Review	Text		REVIEW	리뷰	レビュー
Setting_SaveData_Txt	Text		Save Data	저장된 데이터	データを保存する
Setting_SaveServer	Text		Save to Server	서버에 저장하기	サーバーに保存
Setting_Sfx	Text		SFX	효과음	効果音
Setting_Sound_Btn_Txt	Text		SOUND ON	사운드 켬	サウンド·オン
Setting_Version_Txt	Text		Current Ver.	현재 버전	ゲームのバージョン：
Shop_Ball_Skill_Common	Text		The effect occurs when the brick is destroyed	블럭이 파괴 될 때 이펙트가 발생 합니다	レンガが破壊されると効果が発生します
Shop_Jewel_Btn_Price_0	Text		US$2.49	₩3,300	¥270
Shop_Jewel_Btn_Price_1	Text		US$3.99	₩5,500	¥460
Shop_Jewel_Btn_Price_2	Text		US$8.49	₩11,000	¥920
Shop_Jewel_Btn_Price_3	Text		US$24.99	₩33,000	¥2,750
Shop_Jewel_Btn_Price_4	Text		US$41.99	₩55,000	¥4,580
Shop_Jewel_Btn_Price_5	Text		US$84.99	₩110,000	¥9,200
Shop_Monster_Btn_Ads	Text		Watch ad and use it once	"광고보고
한번 체험하기"	"広告を見て
1回試してみる"
Shop_Monster_Btn_Use	Text		USE	사용	使う
Shop_Monster_Btn_Using	Text		USING	사용 중	使用中
Shop_Monster_Skill_Blue01	Text		Increases the number of balls by 10 at the start (Excluding boss, event, and bomb modes)	시작 시 공의 수량을 10개 늘려 줍니다 (보스, 이벤트, 폭탄 모드 제외)	スタート時にボールの数が10個増えます（ボス、イベント、爆弾モードを除く）
Shop_Monster_Skill_Blue02	Text		Increases the number of balls by 20 at the start (Excluding boss, event, and bomb modes)	시작 시 공의 수량을 20개 늘려 줍니다 (보스, 이벤트, 폭탄 모드 제외)	スタート時にボールの数が20個増えます（ボス、イベント、爆弾モードを除く）
Shop_Monster_Skill_Choco01	Text		Create a ball that destroys all colliding bricks at the start (Excluding boss, event, and bomb modes)	시작 시 충돌하는 모든 벽돌을 파괴하는 공을 생성합니다 (보스, 이벤트, 폭탄 모드 제외)	スタート時にぶつかる全てのブロックを壊すボールが出ます（ボス、イベント、爆弾モードを除く）
Shop_Monster_Skill_Choco02	Text		Create a ball that breaks the horizon of the first brick it collides at the start (Excluding boss, event, and bomb modes)	시작 시 충돌하는 첫 번째 벽돌의 수평선을 파괴하는 공을 생성합니다 (보스, 이벤트, 폭탄 모드 제외)	スタート時に衝突する最初のブロックの水平線を破壊するボールを生み出します（ボス、イベント、爆弾モードを除く）
Shop_Monster_Skill_Common	Text		There is no skill	스킬이 없습니다	スキルはありません
Shop_Monster_Skill_Egg01	Text		Deals 20 damage to all bricks at the start (Excluding boss, event, and bomb modes)	시작 시 모든 벽돌에 20 피해를 줍니다 (보스, 이벤트, 폭탄 모드 제외)	スタート時に全てのブロックに20のダメージを与えます（ボス、イベント、爆弾モードを除く）
Shop_Monster_Skill_Egg02	Text		Create a ball that deals 1-5 damage to 3 random bricks at the start (Excluding boss, event, and bomb modes)	시작 시 무작위 블록 3개에 1-5 데미지를주는 공을 생성합니다 (보스, 이벤트, 폭탄 모드 제외)	スタート時にランダムブロック3個に1-5ダメージを与えるボールを生成します（ボス、イベント、爆弾モードを除く）
Shop_Monster_Skill_Lemon01	Text		Double the number of balls at the start (Excluding boss, event, and bomb modes)	시작 시 공의 수량을 두배 늘려 줍니다 (보스, 이벤트, 폭탄 모드 제외)	スタート時にボールの数が2倍になります（ボス、イベント、爆弾モードを除く）
Shop_Monster_Skill_Lemon02	Text		Triples the number of balls at the start (Excluding boss, event, and bomb modes)	시작 시 공의 수량을 세배 늘려 줍니다 (보스, 이벤트, 폭탄 모드 제외)	スタート時にボールの数が3倍になります（ボス、イベント、爆弾モードを除く）
Shop_Monster_Skill_Orange01	Text		Increases the damage of the ball to 2 at the start (Excluding boss, event, and bomb modes)	시작 시 공의 피해를 2로 높여 줍니다 (보스, 이벤트, 폭탄 모드 제외)	スタート時にボールのダメージを2倍にします（ボス、イベント、爆弾モードを除く）
Shop_Monster_Skill_Orange02	Text		Increases the damage of the ball to 3 at the start (Excluding boss, event, and bomb modes)	시작 시 공의 피해를 3으로 높여 줍니다 (보스, 이벤트, 폭탄 모드 제외)	スタート時にボールのダメージを3倍にします（ボス、イベント、爆弾モードを除く）
Shop_Monster_Skill_Pink01	Text		Create a brick that bounces the ball at the start (Excluding boss, event, and bomb modes)	시작 시 바닥에 공을 튕겨내는 벽돌을 생성합니다 (보스, 이벤트, 폭탄 모드 제외)	スタート時に地面にボールを跳ね返すボールが出ます（ボス、イベント、爆弾モードを除く）
Shop_Monster_Skill_Pink02	Text		Destroy bricks of vertical lines at both ends at the start (Excluding boss, event, and bomb modes)	시작 시 양쪽 끝의 수직선 벽돌을 파괴합니다 (보스, 이벤트, 폭탄 모드 제외)	スタート時に両端の垂直線ブロックを破壊します（ボス、イベント、爆弾モードを除く）
Shop_Noti	Text		"Some of the proceeds are used for
supporting abandoned dogs and cats!"	"수익금의 일부는
유기견, 길고양이 지원사업에 활용됩니다!"	"収益の一部は捨て犬·捨て猫支援プロジェクトに
活用されています！"
Shop_Package_Btn_Price_0	Text		US$8.49	₩11,000	¥920
Shop_Package_Btn_Price_1	Text		US$16.99	₩22,000	¥1,840
Shop_Package_Btn_Price_2	Text		US$24.99	₩33,000	¥2,750
Shop_Package_Btn_Price_3	Text		US$41.99	₩55,000	¥4,580
Shop_Package_Btn_Price_4	Text		US$84.99	₩110,000	¥9,200
Shop_SweetAim_Btn_Price	Text		US$3.99	₩5,500	¥460
Shop_Tab_Jewel	Text		JEWEL	보석	宝石
Shop_Tab_Monster	Text		MONSTER	몬스터	モンスター
Shop_Tab_Package	Text		PACK	패키지	パック
Shop_Tap_Ball	Text		BALL	공	玉
SuperAim	Text		SuperAim	슈퍼에임	"スーパー
アイム"
SweetAimBuy	Text		Would you like to buy the SUPERAIM?	슈퍼 에임을 구매하시겠습니까?	スーパーエイムを購入しますか？
SweetAimPre	Text		"Watch the ad and
get the SUPERAIM?"	"광고를 보고 슈퍼 에임을
미리 체험 하시겠습니까?"	"広告を視聴してスーパーエイムを
先行体験してみますか？"
buyBall	Text		Would you like to buy a ball?	볼 구매하시겠습니까?	ボールを購入しますか？
buyCoin	Text		"Would you like to
make a payment?"	보석충전을 하시겠습니까?	宝石をチャージしますか？
buyMonster	Text		Would you like to buy a monster?	몬스터를 구매하시겠습니까?	モンスターを購入しますか？
buyPackage	Text		"Would you like to purchase
the package?"	패키지 상품을 구매하시겠습니까?	パッケージを購入しますか？
coinLack	Text		There are not enough jewels.	보석이 부족합니다.	宝石が足りません！
systemmessage	Text		The system is changed and the reward is paid.	시스템이 변경되어 보상을 지급해 드립니다.	システムが変更され、報酬が支払われます。
